"","admission.department","discharge.department","flow"
"43","Breast Thyroid Oncology Surgery","Breast Thyroid Surgery",1
"44","Breast Thyroid Oncology Surgery","Breast Thyroid Surgery",1
"45","Breast Thyroid Surgery","Breast Thyroid Surgery",1
"46","Breast Thyroid Surgery","Breast Thyroid Surgery",1
"47","Breast Thyroid Surgery","Breast Thyroid Surgery",2
"48","Breast Thyroid Surgery","Breast Thyroid Surgery",2
"49","Breast Thyroid Surgery","Breast Thyroid Surgery",2
"50","Breast Thyroid Surgery","Breast Thyroid Surgery",4
"51","Breast Thyroid Surgery","Breast Thyroid Surgery",2
"52","Breast Thyroid Surgery","Breast Thyroid Surgery",2
"53","Breast Thyroid Surgery","Breast Thyroid Surgery",1
"54","Breast Thyroid Surgery","Breast Thyroid Surgery",2
"55","Breast Thyroid Surgery","Breast Thyroid Surgery",5
"56","Breast Thyroid Surgery","Breast Thyroid Surgery",4
"57","Breast Thyroid Surgery","Breast Thyroid Surgery",3
"58","Breast Thyroid Surgery","Breast Thyroid Surgery",6
"59","Breast Thyroid Surgery","Breast Thyroid Surgery",4
"60","Breast Thyroid Surgery","Breast Thyroid Surgery",7
"61","Breast Thyroid Surgery","Breast Thyroid Surgery",7
"62","Breast Thyroid Surgery","Breast Thyroid Surgery",10
"63","Breast Thyroid Surgery","Breast Thyroid Surgery",19
"64","Breast Thyroid Surgery","Breast Thyroid Surgery",11
"65","Breast Thyroid Surgery","Breast Thyroid Surgery",1
"66","Breast Thyroid Surgery","Breast Thyroid Surgery",12
"67","Breast Thyroid Surgery","Breast Thyroid Surgery",4
"68","Breast Thyroid Surgery","Breast Thyroid Surgery",10
"69","Breast Thyroid Surgery","Breast Thyroid Surgery",25
"70","Breast Thyroid Surgery","Breast Thyroid Surgery",6
"71","Breast Thyroid Surgery","Breast Thyroid Surgery",2
"72","Breast Thyroid Surgery","Breast Thyroid Surgery",5
"73","Breast Thyroid Surgery","Breast Thyroid Surgery",7
"74","Breast Thyroid Surgery","Breast Thyroid Surgery",3
"75","Breast Thyroid Surgery","Breast Thyroid Surgery",3
"76","Breast Thyroid Surgery","Breast Thyroid Surgery",2
"77","Breast Thyroid Surgery","Breast Thyroid Surgery",1
"78","Breast Thyroid Surgery","Breast Thyroid Surgery",1
"79","Breast Thyroid Surgery","Breast Thyroid Surgery",2
"80","Breast Thyroid Surgery","Breast Thyroid Surgery",1
"81","Breast Thyroid Surgery","Breast Thyroid Surgery",3
"82","Breast Thyroid Surgery","Breast Thyroid Surgery",1
"83","Breast Thyroid Surgery","Breast Thyroid Surgery",1
"84","Breast Thyroid Surgery","Breast Thyroid Surgery",1
"85","Department of Traditional Chinese Medicine","Breast Thyroid Surgery",1
"86","Cancer Center Ward 8","Cancer Center Ward 8",1
"87","Breast Thyroid Surgery","Cardiac Large Vascular Surgery",1
"88","Breast Thyroid Surgery","Cardiac Large Vascular Surgery",1
"89","Breast Thyroid Surgery","Cardiac Large Vascular Surgery",1
"90","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"91","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"92","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"93","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",2
"94","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"95","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",2
"96","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"97","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",8
"98","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",11
"99","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",4
"100","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",6
"101","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",9
"102","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",13
"103","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",11
"104","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",14
"105","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",24
"106","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",32
"107","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",31
"108","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",49
"109","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",58
"110","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",46
"111","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",43
"112","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",70
"113","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",75
"114","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",84
"115","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",125
"116","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",106
"117","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",109
"118","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",85
"119","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",105
"120","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",95
"121","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",119
"122","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",132
"123","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",139
"124","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",168
"125","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",171
"126","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",175
"127","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",156
"128","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",137
"129","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",134
"130","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",133
"131","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",113
"132","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",87
"133","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",85
"134","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",71
"135","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",60
"136","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",48
"137","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",37
"138","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",34
"139","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",27
"140","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",17
"141","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",9
"142","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",4
"143","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",3
"144","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",5
"145","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"146","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",3
"147","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",3
"148","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"149","Cardiac Large Vascular Surgery Monitoring Room","Cardiac Large Vascular Surgery",1
"150","Cardiology","Cardiac Large Vascular Surgery",2
"151","Cardiology","Cardiac Large Vascular Surgery",1
"152","Cardiology","Cardiac Large Vascular Surgery",2
"153","Cardiology","Cardiac Large Vascular Surgery",1
"154","Cardiology","Cardiac Large Vascular Surgery",1
"155","Cardiology","Cardiac Large Vascular Surgery",1
"156","Cardiology","Cardiac Large Vascular Surgery",1
"157","Cardiology","Cardiac Large Vascular Surgery",3
"158","Cardiology","Cardiac Large Vascular Surgery",1
"159","Cardiology","Cardiac Large Vascular Surgery",3
"160","Cardiology","Cardiac Large Vascular Surgery",2
"161","Cardiology","Cardiac Large Vascular Surgery",9
"162","Cardiology","Cardiac Large Vascular Surgery",2
"163","Cardiology","Cardiac Large Vascular Surgery",9
"164","Cardiology","Cardiac Large Vascular Surgery",4
"165","Cardiology","Cardiac Large Vascular Surgery",10
"166","Cardiology","Cardiac Large Vascular Surgery",16
"167","Cardiology","Cardiac Large Vascular Surgery",11
"168","Cardiology","Cardiac Large Vascular Surgery",8
"169","Cardiology","Cardiac Large Vascular Surgery",9
"170","Cardiology","Cardiac Large Vascular Surgery",4
"171","Cardiology","Cardiac Large Vascular Surgery",8
"172","Cardiology","Cardiac Large Vascular Surgery",11
"173","Cardiology","Cardiac Large Vascular Surgery",13
"174","Cardiology","Cardiac Large Vascular Surgery",8
"175","Cardiology","Cardiac Large Vascular Surgery",15
"176","Cardiology","Cardiac Large Vascular Surgery",13
"177","Cardiology","Cardiac Large Vascular Surgery",14
"178","Cardiology","Cardiac Large Vascular Surgery",15
"179","Cardiology","Cardiac Large Vascular Surgery",12
"180","Cardiology","Cardiac Large Vascular Surgery",10
"181","Cardiology","Cardiac Large Vascular Surgery",13
"182","Cardiology","Cardiac Large Vascular Surgery",12
"183","Cardiology","Cardiac Large Vascular Surgery",15
"184","Cardiology","Cardiac Large Vascular Surgery",6
"185","Cardiology","Cardiac Large Vascular Surgery",8
"186","Cardiology","Cardiac Large Vascular Surgery",5
"187","Cardiology","Cardiac Large Vascular Surgery",3
"188","Cardiology","Cardiac Large Vascular Surgery",5
"189","Cardiology","Cardiac Large Vascular Surgery",1
"190","Cardiology","Cardiac Large Vascular Surgery",2
"191","Cardiology","Cardiac Large Vascular Surgery",1
"192","Cardiology","Cardiac Large Vascular Surgery",1
"193","Comprehensive internal medicine","Cardiac Large Vascular Surgery",1
"194","Comprehensive internal medicine","Cardiac Large Vascular Surgery",2
"195","Comprehensive Surgery","Cardiac Large Vascular Surgery",1
"196","Department of Infectious Diseases","Cardiac Large Vascular Surgery",1
"197","Department of Infectious Diseases","Cardiac Large Vascular Surgery",1
"198","Department of Traditional Chinese Medicine","Cardiac Large Vascular Surgery",1
"199","Department of Traditional Chinese Medicine","Cardiac Large Vascular Surgery",1
"200","Endocrinology Department","Cardiac Large Vascular Surgery",1
"201","Neurology","Cardiac Large Vascular Surgery",1
"202","Neurology","Cardiac Large Vascular Surgery",1
"203","Neurology","Cardiac Large Vascular Surgery",1
"204","Neurology","Cardiac Large Vascular Surgery",1
"205","Neurosurgery","Cardiac Large Vascular Surgery",1
"206","Neurosurgery","Cardiac Large Vascular Surgery",1
"207","orthopedics","Cardiac Large Vascular Surgery",1
"208","Respiratory and Critical Care Medicine","Cardiac Large Vascular Surgery",1
"209","Respiratory Medicine","Cardiac Large Vascular Surgery",1
"210","Respiratory Medicine","Cardiac Large Vascular Surgery",1
"211","Urology","Cardiac Large Vascular Surgery",1
"212","Vascular Surgery","Cardiac Large Vascular Surgery",1
"213","Vascular Surgery","Cardiac Large Vascular Surgery",1
"214","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery Monitoring Room",2
"215","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery Monitoring Room",2
"216","Breast Thyroid Surgery","Cardiology",1
"217","Breast Thyroid Surgery","Cardiology",1
"218","Cardiac Large Vascular Surgery","Cardiology",1
"219","Cardiac Large Vascular Surgery","Cardiology",1
"220","Cardiac Large Vascular Surgery","Cardiology",2
"221","Cardiac Large Vascular Surgery","Cardiology",1
"222","Cardiac Large Vascular Surgery","Cardiology",2
"223","Cardiac Large Vascular Surgery","Cardiology",4
"224","Cardiac Large Vascular Surgery","Cardiology",1
"225","Cardiac Large Vascular Surgery","Cardiology",4
"226","Cardiac Large Vascular Surgery","Cardiology",1
"227","Cardiac Large Vascular Surgery","Cardiology",3
"228","Cardiac Large Vascular Surgery","Cardiology",5
"229","Cardiac Large Vascular Surgery","Cardiology",3
"230","Cardiac Large Vascular Surgery","Cardiology",2
"231","Cardiac Large Vascular Surgery","Cardiology",5
"232","Cardiac Large Vascular Surgery","Cardiology",4
"233","Cardiac Large Vascular Surgery","Cardiology",2
"234","Cardiac Large Vascular Surgery","Cardiology",2
"235","Cardiac Large Vascular Surgery","Cardiology",2
"236","Cardiac Large Vascular Surgery","Cardiology",2
"237","Cardiac Large Vascular Surgery","Cardiology",4
"238","Cardiac Large Vascular Surgery","Cardiology",4
"239","Cardiac Large Vascular Surgery","Cardiology",1
"240","Cardiac Large Vascular Surgery","Cardiology",1
"241","Cardiac Large Vascular Surgery","Cardiology",2
"242","Cardiac Large Vascular Surgery","Cardiology",3
"243","Cardiac Large Vascular Surgery","Cardiology",1
"244","Cardiac Large Vascular Surgery","Cardiology",3
"245","Cardiac Large Vascular Surgery","Cardiology",1
"246","Cardiac Large Vascular Surgery","Cardiology",3
"247","Cardiac Large Vascular Surgery","Cardiology",3
"248","Cardiac Large Vascular Surgery","Cardiology",1
"249","Cardiac Large Vascular Surgery","Cardiology",1
"250","Cardiac Large Vascular Surgery","Cardiology",1
"251","Cardiac Large Vascular Surgery","Cardiology",1
"252","Cardiology","Cardiology",1
"253","Cardiology","Cardiology",1
"254","Cardiology","Cardiology",3
"255","Cardiology","Cardiology",4
"256","Cardiology","Cardiology",4
"257","Cardiology","Cardiology",5
"258","Cardiology","Cardiology",5
"259","Cardiology","Cardiology",10
"260","Cardiology","Cardiology",13
"261","Cardiology","Cardiology",13
"262","Cardiology","Cardiology",21
"263","Cardiology","Cardiology",27
"264","Cardiology","Cardiology",32
"265","Cardiology","Cardiology",37
"266","Cardiology","Cardiology",60
"267","Cardiology","Cardiology",57
"268","Cardiology","Cardiology",54
"269","Cardiology","Cardiology",67
"270","Cardiology","Cardiology",83
"271","Cardiology","Cardiology",95
"272","Cardiology","Cardiology",126
"273","Cardiology","Cardiology",127
"274","Cardiology","Cardiology",188
"275","Cardiology","Cardiology",193
"276","Cardiology","Cardiology",253
"277","Cardiology","Cardiology",351
"278","Cardiology","Cardiology",395
"279","Cardiology","Cardiology",394
"280","Cardiology","Cardiology",425
"281","Cardiology","Cardiology",520
"282","Cardiology","Cardiology",552
"283","Cardiology","Cardiology",639
"284","Cardiology","Cardiology",698
"285","Cardiology","Cardiology",748
"286","Cardiology","Cardiology",814
"287","Cardiology","Cardiology",737
"288","Cardiology","Cardiology",790
"289","Cardiology","Cardiology",759
"290","Cardiology","Cardiology",858
"291","Cardiology","Cardiology",989
"292","Cardiology","Cardiology",1017
"293","Cardiology","Cardiology",1042
"294","Cardiology","Cardiology",1057
"295","Cardiology","Cardiology",1045
"296","Cardiology","Cardiology",1052
"297","Cardiology","Cardiology",1012
"298","Cardiology","Cardiology",1001
"299","Cardiology","Cardiology",985
"300","Cardiology","Cardiology",919
"301","Cardiology","Cardiology",861
"302","Cardiology","Cardiology",806
"303","Cardiology","Cardiology",748
"304","Cardiology","Cardiology",727
"305","Cardiology","Cardiology",658
"306","Cardiology","Cardiology",674
"307","Cardiology","Cardiology",642
"308","Cardiology","Cardiology",586
"309","Cardiology","Cardiology",496
"310","Cardiology","Cardiology",407
"311","Cardiology","Cardiology",391
"312","Cardiology","Cardiology",397
"313","Cardiology","Cardiology",338
"314","Cardiology","Cardiology",278
"315","Cardiology","Cardiology",229
"316","Cardiology","Cardiology",162
"317","Cardiology","Cardiology",117
"318","Cardiology","Cardiology",93
"319","Cardiology","Cardiology",70
"320","Cardiology","Cardiology",77
"321","Cardiology","Cardiology",50
"322","Cardiology","Cardiology",29
"323","Cardiology","Cardiology",13
"324","Cardiology","Cardiology",11
"325","Cardiology","Cardiology",8
"326","Cardiology","Cardiology",2
"327","Cardiology","Cardiology",10
"328","Cardiology","Cardiology",1
"329","Cardiology","Cardiology",1
"330","Cardiology","Cardiology",2
"331","Chest Oncology Surgery","Cardiology",1
"332","Chest Oncology Surgery","Cardiology",1
"333","Chest Oncology Surgery","Cardiology",1
"334","Comprehensive internal medicine","Cardiology",1
"335","Comprehensive internal medicine","Cardiology",1
"336","Comprehensive internal medicine","Cardiology",3
"337","Comprehensive internal medicine","Cardiology",1
"338","Comprehensive internal medicine","Cardiology",1
"339","Comprehensive internal medicine","Cardiology",2
"340","Comprehensive internal medicine","Cardiology",1
"341","Comprehensive internal medicine","Cardiology",1
"342","Comprehensive internal medicine","Cardiology",3
"343","Comprehensive internal medicine","Cardiology",1
"344","Comprehensive internal medicine","Cardiology",1
"345","Comprehensive internal medicine","Cardiology",1
"346","Comprehensive Surgery","Cardiology",1
"347","Dental department","Cardiology",1
"348","Dental department","Cardiology",1
"349","Dental department","Cardiology",1
"350","Dental department","Cardiology",1
"351","Department of Critical Care Medicine","Cardiology",1
"352","Department of Critical Care Medicine","Cardiology",1
"353","Department of Critical Care Medicine","Cardiology",1
"354","Department of Critical Care Medicine","Cardiology",1
"355","Department of Critical Care Medicine","Cardiology",1
"356","Department of Critical Care Medicine","Cardiology",2
"357","Department of Critical Care Medicine","Cardiology",1
"358","Department of Critical Care Medicine","Cardiology",2
"359","Department of Infectious Diseases","Cardiology",1
"360","Department of Infectious Diseases","Cardiology",1
"361","Department of Infectious Diseases","Cardiology",2
"362","Department of Infectious Diseases","Cardiology",1
"363","Department of Infectious Diseases","Cardiology",1
"364","Department of L6 Lymphoma","Cardiology",1
"365","Department of Rehabilitation Medicine","Cardiology",1
"366","Department of Traditional Chinese Medicine","Cardiology",1
"367","Department of Traditional Chinese Medicine","Cardiology",1
"368","Department of Traditional Chinese Medicine","Cardiology",1
"369","Department of Traditional Chinese Medicine","Cardiology",1
"370","Department of Traditional Chinese Medicine","Cardiology",1
"371","Department of Traditional Chinese Medicine","Cardiology",2
"372","Department of Traditional Chinese Medicine","Cardiology",2
"373","Department of Traditional Chinese Medicine","Cardiology",1
"374","Department of Traditional Chinese Medicine","Cardiology",1
"375","Department of Traditional Chinese Medicine","Cardiology",1
"376","Department of Traditional Chinese Medicine","Cardiology",1
"377","Department of Traditional Chinese Medicine","Cardiology",1
"378","dermatology","Cardiology",1
"379","dermatology","Cardiology",1
"380","Digestive Oncology Surgery","Cardiology",1
"381","Emergency Surgery","Cardiology",1
"382","Emergency Surgery","Cardiology",1
"383","Emergency Surgery","Cardiology",1
"384","Emergency Surgery","Cardiology",1
"385","Emergency Surgery","Cardiology",1
"386","Emergency Surgery","Cardiology",1
"387","Emergency Ward","Cardiology",1
"388","Emergency Ward","Cardiology",2
"389","Emergency Ward","Cardiology",1
"390","Emergency Ward","Cardiology",1
"391","Emergency Ward","Cardiology",1
"392","Emergency Ward","Cardiology",1
"393","Emergency Ward","Cardiology",1
"394","Emergency Ward","Cardiology",2
"395","Emergency Ward","Cardiology",1
"396","Emergency Ward","Cardiology",1
"397","Emergency Ward","Cardiology",1
"398","Emergency Ward","Cardiology",1
"399","Endocrinology Department","Cardiology",1
"400","Endocrinology Department","Cardiology",1
"401","Endocrinology Department","Cardiology",1
"402","Endocrinology Department","Cardiology",3
"403","Endocrinology Department","Cardiology",1
"404","Endocrinology Department","Cardiology",1
"405","Endocrinology Department","Cardiology",1
"406","Endocrinology Department","Cardiology",2
"407","Endocrinology Department","Cardiology",1
"408","Endocrinology Department","Cardiology",1
"409","Gastroenterology","Cardiology",1
"410","Gastroenterology","Cardiology",1
"411","Gastroenterology","Cardiology",1
"412","Gastroenterology","Cardiology",2
"413","Gastroenterology","Cardiology",2
"414","Gastroenterology","Cardiology",1
"415","Gastroenterology","Cardiology",1
"416","Gastroenterology","Cardiology",1
"417","Gastroenterology","Cardiology",3
"418","Gastroenterology","Cardiology",1
"419","Gastroenterology","Cardiology",1
"420","Gastroenterology","Cardiology",1
"421","Gastroenterology Surgery","Cardiology",1
"422","Gastroenterology Surgery","Cardiology",1
"423","Gastroenterology Surgery","Cardiology",1
"424","Gastroenterology Surgery II","Cardiology",1
"425","Gastroenterology Surgery II","Cardiology",1
"426","Gastroenterology Surgery II","Cardiology",1
"427","Gastroenterology Surgery II","Cardiology",1
"428","Gastroenterology Surgery II","Cardiology",1
"429","Gynecology","Cardiology",1
"430","Gynecology","Cardiology",1
"431","Hepatobiliary Surgery","Cardiology",1
"432","Hepatobiliary Surgery","Cardiology",1
"433","Hepatobiliary Surgery","Cardiology",1
"434","Hepatobiliary Surgery","Cardiology",1
"435","Hepatobiliary Surgery","Cardiology",1
"436","Hepatobiliary Surgery","Cardiology",1
"437","Interventional Radiology","Cardiology",1
"438","Interventional Radiology","Cardiology",1
"439","M2 Gynecological Oncology DepartmentⅠ","Cardiology",1
"440","M3 Urology, Gynecology and Oncology Department II","Cardiology",1
"441","N14","Cardiology",1
"442","Nephropathy Department","Cardiology",1
"443","Nephropathy Department","Cardiology",1
"444","Nephropathy Department","Cardiology",2
"445","Nephropathy Department","Cardiology",1
"446","Nephropathy Department","Cardiology",1
"447","Nephropathy Department","Cardiology",2
"448","Nephropathy Department","Cardiology",3
"449","Nephropathy Department","Cardiology",1
"450","Nephropathy Department","Cardiology",3
"451","Nephropathy Department","Cardiology",2
"452","Nephropathy Department","Cardiology",1
"453","Nephropathy Department","Cardiology",1
"454","Nephropathy Department","Cardiology",2
"455","Nephropathy Department","Cardiology",1
"456","Nephropathy Department","Cardiology",1
"457","Nephropathy Department","Cardiology",2
"458","Nephropathy Department","Cardiology",1
"459","Neurology","Cardiology",1
"460","Neurology","Cardiology",1
"461","Neurology","Cardiology",1
"462","Neurology","Cardiology",1
"463","Neurology","Cardiology",1
"464","Neurology","Cardiology",1
"465","Neurology","Cardiology",2
"466","Neurology","Cardiology",1
"467","Neurology","Cardiology",1
"468","Neurology","Cardiology",1
"469","Neurology","Cardiology",1
"470","Neurology","Cardiology",1
"471","Neurology","Cardiology",1
"472","Neurosurgery","Cardiology",1
"473","Neurosurgery","Cardiology",1
"474","Neurosurgery","Cardiology",1
"475","Neurosurgery","Cardiology",1
"476","ophthalmology","Cardiology",1
"477","ophthalmology","Cardiology",1
"478","ophthalmology","Cardiology",1
"479","ophthalmology","Cardiology",1
"480","orthopedics","Cardiology",1
"481","orthopedics","Cardiology",2
"482","orthopedics","Cardiology",1
"483","orthopedics","Cardiology",1
"484","orthopedics","Cardiology",2
"485","orthopedics","Cardiology",1
"486","orthopedics","Cardiology",1
"487","Otolaryngology","Cardiology",1
"488","Otolaryngology","Cardiology",1
"489","Otolaryngology","Cardiology",1
"490","Otolaryngology","Cardiology",1
"491","Otolaryngology","Cardiology",1
"492","Pain Department","Cardiology",1
"493","Plastic Surgery","Cardiology",1
"494","Respiratory and Critical Care Medicine","Cardiology",1
"495","Respiratory and Critical Care Medicine","Cardiology",1
"496","Respiratory and Critical Care Medicine","Cardiology",1
"497","Respiratory and Critical Care Medicine","Cardiology",1
"498","Respiratory and Critical Care Medicine","Cardiology",1
"499","Respiratory and Critical Care Medicine","Cardiology",1
"500","Respiratory Medicine","Cardiology",1
"501","Respiratory Medicine","Cardiology",1
"502","Respiratory Medicine","Cardiology",1
"503","Respiratory Medicine","Cardiology",1
"504","Respiratory Medicine","Cardiology",1
"505","Respiratory Medicine","Cardiology",2
"506","Respiratory Medicine","Cardiology",1
"507","Respiratory Medicine","Cardiology",1
"508","Respiratory Medicine","Cardiology",2
"509","Respiratory Medicine","Cardiology",1
"510","Respiratory Medicine","Cardiology",1
"511","Rheumatism and Immunology Department","Cardiology",1
"512","Rheumatism and Immunology Department","Cardiology",1
"513","Thoracic Surgery","Cardiology",1
"514","Thoracic Surgery","Cardiology",1
"515","Thoracic Surgery","Cardiology",1
"516","Thoracic Surgery","Cardiology",1
"517","Thoracic Surgery","Cardiology",1
"518","Urology","Cardiology",1
"519","Urology","Cardiology",1
"520","Urology","Cardiology",1
"521","Urology","Cardiology",1
"522","Urology","Cardiology",1
"523","Urology","Cardiology",2
"524","Urology","Cardiology",1
"525","Urology","Cardiology",1
"526","Vascular Surgery","Cardiology",1
"527","Vascular Surgery","Cardiology",1
"528","Vascular Surgery","Cardiology",1
"529","Vascular Surgery","Cardiology",1
"530","Vascular Surgery","Cardiology",1
"531","Vascular Surgery","Cardiology",1
"532","Vascular Surgery","Cardiology",1
"533","Vascular Surgery","Cardiology",1
"534","Vascular Surgery","Cardiology",1
"535","Vascular Surgery","Cardiology",1
"536","Vascular Surgery","Cardiology",1
"537","Z11 Digestive Oncology Department I","Cardiology",1
"538","Z13 Chest Oncology Department I","Cardiology",1
"539","Z13 Chest Oncology Department I","Cardiology",1
"540","Z13 Chest Oncology Department I","Cardiology",1
"541","Z14 Chest Oncology Department II","Cardiology",1
"542","Z14 Chest Oncology Department II","Cardiology",1
"543","Z7 Head and Neck Oncology DepartmentⅠ","Cardiology",1
"544","Z9 Abdominal Oncology Department","Cardiology",1
"545","Cardiology","Cardiovascular CCU",1
"546","Chest Oncology Surgery","Chest Oncology Surgery",1
"547","Chest Oncology Surgery","Chest Oncology Surgery",2
"548","Chest Oncology Surgery","Chest Oncology Surgery",1
"549","Chest Oncology Surgery","Chest Oncology Surgery",2
"550","Chest Oncology Surgery","Chest Oncology Surgery",1
"551","Chest Oncology Surgery","Chest Oncology Surgery",2
"552","Chest Oncology Surgery","Chest Oncology Surgery",2
"553","Chest Oncology Surgery","Chest Oncology Surgery",1
"554","Chest Oncology Surgery","Chest Oncology Surgery",1
"555","Chest Oncology Surgery","Chest Oncology Surgery",1
"556","Chest Oncology Surgery","Chest Oncology Surgery",1
