"","admission.department","discharge.department","flow"
"61","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",4
"62","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",21
"63","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",8
"64","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",13
"65","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",21
"66","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",36
"67","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",16
"68","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",37
"69","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",10
"70","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",12
"71","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",26
"72","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",13
"73","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",16
"74","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",4
"75","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",20
"76","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",8
"77","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",22
"78","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",16
"79","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",17
"80","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",9
"81","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",7
"82","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",13
"83","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",23
"84","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",9
"85","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",4
"86","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",8
"87","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",13
"88","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",2
"89","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",2
"90","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",1
"91","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",4
"92","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",2
"93","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",3
"94","Breast Thyroid Oncology Surgery","Breast Thyroid Oncology Surgery",3
"95","Cardiology","Breast Thyroid Oncology Surgery",1
"96","L3 Breast Oncology DepartmentⅠ","Breast Thyroid Oncology Surgery",1
"97","L3 Breast Oncology DepartmentⅠ","Breast Thyroid Oncology Surgery",1
"98","L4 Breast Oncology Department II","Breast Thyroid Oncology Surgery",1
"99","Breast Thyroid Oncology Surgery","Breast Thyroid Surgery",1
"100","Breast Thyroid Surgery","Breast Thyroid Surgery",1
"101","Breast Thyroid Surgery","Breast Thyroid Surgery",2
"102","Breast Thyroid Surgery","Breast Thyroid Surgery",1
"103","Breast Thyroid Surgery","Breast Thyroid Surgery",1
"104","Breast Thyroid Surgery","Breast Thyroid Surgery",1
"105","Breast Thyroid Surgery","Breast Thyroid Surgery",2
"106","Breast Thyroid Surgery","Breast Thyroid Surgery",2
"107","Breast Thyroid Surgery","Breast Thyroid Surgery",7
"108","Breast Thyroid Surgery","Breast Thyroid Surgery",13
"109","Breast Thyroid Surgery","Breast Thyroid Surgery",43
"110","Breast Thyroid Surgery","Breast Thyroid Surgery",33
"111","Breast Thyroid Surgery","Breast Thyroid Surgery",8
"112","Breast Thyroid Surgery","Breast Thyroid Surgery",17
"113","Breast Thyroid Surgery","Breast Thyroid Surgery",23
"114","Breast Thyroid Surgery","Breast Thyroid Surgery",40
"115","Breast Thyroid Surgery","Breast Thyroid Surgery",17
"116","Breast Thyroid Surgery","Breast Thyroid Surgery",19
"117","Breast Thyroid Surgery","Breast Thyroid Surgery",60
"118","Breast Thyroid Surgery","Breast Thyroid Surgery",61
"119","Breast Thyroid Surgery","Breast Thyroid Surgery",42
"120","Breast Thyroid Surgery","Breast Thyroid Surgery",19
"121","Breast Thyroid Surgery","Breast Thyroid Surgery",25
"122","Breast Thyroid Surgery","Breast Thyroid Surgery",17
"123","Breast Thyroid Surgery","Breast Thyroid Surgery",28
"124","Breast Thyroid Surgery","Breast Thyroid Surgery",42
"125","Breast Thyroid Surgery","Breast Thyroid Surgery",71
"126","Breast Thyroid Surgery","Breast Thyroid Surgery",62
"127","Breast Thyroid Surgery","Breast Thyroid Surgery",84
"128","Breast Thyroid Surgery","Breast Thyroid Surgery",46
"129","Breast Thyroid Surgery","Breast Thyroid Surgery",48
"130","Breast Thyroid Surgery","Breast Thyroid Surgery",66
"131","Breast Thyroid Surgery","Breast Thyroid Surgery",43
"132","Breast Thyroid Surgery","Breast Thyroid Surgery",20
"133","Breast Thyroid Surgery","Breast Thyroid Surgery",78
"134","Breast Thyroid Surgery","Breast Thyroid Surgery",37
"135","Breast Thyroid Surgery","Breast Thyroid Surgery",18
"136","Breast Thyroid Surgery","Breast Thyroid Surgery",31
"137","Breast Thyroid Surgery","Breast Thyroid Surgery",23
"138","Breast Thyroid Surgery","Breast Thyroid Surgery",17
"139","Breast Thyroid Surgery","Breast Thyroid Surgery",34
"140","Breast Thyroid Surgery","Breast Thyroid Surgery",13
"141","Breast Thyroid Surgery","Breast Thyroid Surgery",25
"142","Breast Thyroid Surgery","Breast Thyroid Surgery",13
"143","Breast Thyroid Surgery","Breast Thyroid Surgery",20
"144","Breast Thyroid Surgery","Breast Thyroid Surgery",7
"145","Breast Thyroid Surgery","Breast Thyroid Surgery",15
"146","Breast Thyroid Surgery","Breast Thyroid Surgery",10
"147","Breast Thyroid Surgery","Breast Thyroid Surgery",1
"148","Breast Thyroid Surgery","Breast Thyroid Surgery",3
"149","Breast Thyroid Surgery","Breast Thyroid Surgery",10
"150","Breast Thyroid Surgery","Breast Thyroid Surgery",14
"151","Breast Thyroid Surgery","Breast Thyroid Surgery",5
"152","Breast Thyroid Surgery","Breast Thyroid Surgery",1
"153","Breast Thyroid Surgery","Breast Thyroid Surgery",2
"154","Breast Thyroid Surgery","Breast Thyroid Surgery",2
"155","Breast Thyroid Surgery","Breast Thyroid Surgery",3
"156","Breast Thyroid Surgery","Breast Thyroid Surgery",2
"157","Breast Thyroid Surgery","Breast Thyroid Surgery",1
"158","Breast Thyroid Surgery","Breast Thyroid Surgery",1
"159","Breast Thyroid Surgery","Breast Thyroid Surgery",3
"160","Breast Thyroid Surgery","Breast Thyroid Surgery",1
"161","Breast Thyroid Surgery","Breast Thyroid Surgery",5
"162","Comprehensive internal medicine","Breast Thyroid Surgery",1
"163","Department of Critical Care Medicine","Breast Thyroid Surgery",1
"164","Department of Traditional Chinese Medicine","Breast Thyroid Surgery",1
"165","Breast tumors","Breast tumors",5
"166","Breast tumors","Breast tumors",1
"167","Breast tumors","Breast tumors",20
"168","Breast tumors","Breast tumors",12
"169","Breast tumors","Breast tumors",13
"170","Breast tumors","Breast tumors",1
"171","Breast tumors","Breast tumors",4
"172","Breast tumors","Breast tumors",24
"173","Breast tumors","Breast tumors",14
"174","Breast tumors","Breast tumors",18
"175","Breast tumors","Breast tumors",11
"176","Breast tumors","Breast tumors",7
"177","Breast tumors","Breast tumors",6
"178","Breast tumors","Breast tumors",4
"179","Breast tumors","Breast tumors",19
"180","Breast tumors","Breast tumors",28
"181","Breast tumors","Breast tumors",25
"182","Breast tumors","Breast tumors",19
"183","Breast tumors","Breast tumors",2
"184","Breast tumors","Breast tumors",18
"185","Breast tumors","Breast tumors",12
"186","Breast tumors","Breast tumors",15
"187","Breast tumors","Breast tumors",2
"188","Breast tumors","Breast tumors",2
"189","Breast tumors","Breast tumors",1
"190","Breast Thyroid Surgery","Cardiac Large Vascular Surgery",1
"191","Breast Thyroid Surgery","Cardiac Large Vascular Surgery",1
"192","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",7
"193","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"194","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",3
"195","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",2
"196","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"197","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"198","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",2
"199","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"200","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"201","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"202","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"203","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"204","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"205","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"206","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"207","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"208","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"209","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",5
"210","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",6
"211","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",6
"212","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",4
"213","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",5
"214","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",3
"215","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",5
"216","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",5
"217","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",4
"218","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",15
"219","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",12
"220","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",12
"221","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",20
"222","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",20
"223","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",19
"224","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",20
"225","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",22
"226","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",32
"227","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",27
"228","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",52
"229","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",32
"230","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",40
"231","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",40
"232","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",30
"233","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",38
"234","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",36
"235","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",57
"236","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",46
"237","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",53
"238","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",67
"239","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",66
"240","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",67
"241","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",53
"242","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",63
"243","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",60
"244","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",41
"245","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",48
"246","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",34
"247","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",27
"248","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",25
"249","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",26
"250","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",17
"251","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",21
"252","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",13
"253","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",12
"254","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",4
"255","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",2
"256","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",6
"257","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",6
"258","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"259","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",2
"260","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"261","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"262","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"263","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"264","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery",1
"265","Cardiac Large Vascular Surgery Monitoring Room","Cardiac Large Vascular Surgery",1
"266","Cardiology","Cardiac Large Vascular Surgery",1
"267","Cardiology","Cardiac Large Vascular Surgery",1
"268","Cardiology","Cardiac Large Vascular Surgery",1
"269","Cardiology","Cardiac Large Vascular Surgery",1
"270","Cardiology","Cardiac Large Vascular Surgery",1
"271","Cardiology","Cardiac Large Vascular Surgery",1
"272","Cardiology","Cardiac Large Vascular Surgery",2
"273","Cardiology","Cardiac Large Vascular Surgery",2
"274","Cardiology","Cardiac Large Vascular Surgery",4
"275","Cardiology","Cardiac Large Vascular Surgery",1
"276","Cardiology","Cardiac Large Vascular Surgery",6
"277","Cardiology","Cardiac Large Vascular Surgery",1
"278","Cardiology","Cardiac Large Vascular Surgery",3
"279","Cardiology","Cardiac Large Vascular Surgery",11
"280","Cardiology","Cardiac Large Vascular Surgery",4
"281","Cardiology","Cardiac Large Vascular Surgery",7
"282","Cardiology","Cardiac Large Vascular Surgery",7
"283","Cardiology","Cardiac Large Vascular Surgery",4
"284","Cardiology","Cardiac Large Vascular Surgery",6
"285","Cardiology","Cardiac Large Vascular Surgery",11
"286","Cardiology","Cardiac Large Vascular Surgery",5
"287","Cardiology","Cardiac Large Vascular Surgery",7
"288","Cardiology","Cardiac Large Vascular Surgery",11
"289","Cardiology","Cardiac Large Vascular Surgery",5
"290","Cardiology","Cardiac Large Vascular Surgery",9
"291","Cardiology","Cardiac Large Vascular Surgery",12
"292","Cardiology","Cardiac Large Vascular Surgery",11
"293","Cardiology","Cardiac Large Vascular Surgery",10
"294","Cardiology","Cardiac Large Vascular Surgery",10
"295","Cardiology","Cardiac Large Vascular Surgery",7
"296","Cardiology","Cardiac Large Vascular Surgery",4
"297","Cardiology","Cardiac Large Vascular Surgery",3
"298","Cardiology","Cardiac Large Vascular Surgery",1
"299","Cardiology","Cardiac Large Vascular Surgery",5
"300","Cardiology","Cardiac Large Vascular Surgery",3
"301","Cardiology","Cardiac Large Vascular Surgery",1
"302","Cardiology","Cardiac Large Vascular Surgery",3
"303","Cardiology","Cardiac Large Vascular Surgery",2
"304","Comprehensive internal medicine","Cardiac Large Vascular Surgery",1
"305","Comprehensive Medical Department","Cardiac Large Vascular Surgery",1
"306","Comprehensive Medical Department","Cardiac Large Vascular Surgery",1
"307","Comprehensive Surgery","Cardiac Large Vascular Surgery",1
"308","Department of Infectious Diseases","Cardiac Large Vascular Surgery",1
"309","Department of Infectious Diseases","Cardiac Large Vascular Surgery",1
"310","Department of Traditional Chinese Medicine","Cardiac Large Vascular Surgery",1
"311","Endocrinology Department","Cardiac Large Vascular Surgery",1
"312","Gastroenterology","Cardiac Large Vascular Surgery",1
"313","General Medicine","Cardiac Large Vascular Surgery",1
"314","General Medicine","Cardiac Large Vascular Surgery",1
"315","General Medicine","Cardiac Large Vascular Surgery",1
"316","Hepatobiliary Surgery","Cardiac Large Vascular Surgery",1
"317","Nephrology","Cardiac Large Vascular Surgery",1
"318","Neurology","Cardiac Large Vascular Surgery",1
"319","Pediatrics","Cardiac Large Vascular Surgery",2
"320","Respiratory Medicine","Cardiac Large Vascular Surgery",1
"321","Respiratory Medicine","Cardiac Large Vascular Surgery",1
"322","V4 Surgery Comprehensive Ward","Cardiac Large Vascular Surgery",1
"323","Vascular Surgery","Cardiac Large Vascular Surgery",1
"324","Cardiac Large Vascular Surgery","Cardiac Large Vascular Surgery Monitoring Room",1
"325","Cardiac Large Vascular Surgery Monitoring Room","Cardiac Large Vascular Surgery Monitoring Room",1
"326","Breast Thyroid Surgery","Cardiology",1
"327","Cardiac Large Vascular Surgery","Cardiology",1
"328","Cardiac Large Vascular Surgery","Cardiology",1
"329","Cardiac Large Vascular Surgery","Cardiology",1
"330","Cardiac Large Vascular Surgery","Cardiology",1
"331","Cardiac Large Vascular Surgery","Cardiology",1
"332","Cardiac Large Vascular Surgery","Cardiology",2
"333","Cardiac Large Vascular Surgery","Cardiology",1
"334","Cardiac Large Vascular Surgery","Cardiology",2
"335","Cardiac Large Vascular Surgery","Cardiology",2
"336","Cardiac Large Vascular Surgery","Cardiology",1
"337","Cardiac Large Vascular Surgery","Cardiology",1
"338","Cardiac Large Vascular Surgery","Cardiology",1
"339","Cardiac Large Vascular Surgery","Cardiology",1
"340","Cardiac Large Vascular Surgery","Cardiology",1
"341","Cardiac Large Vascular Surgery","Cardiology",1
"342","Cardiac Large Vascular Surgery","Cardiology",1
"343","Cardiac Large Vascular Surgery","Cardiology",1
"344","Cardiac Large Vascular Surgery","Cardiology",1
"345","Cardiology","Cardiology",1
"346","Cardiology","Cardiology",2
"347","Cardiology","Cardiology",1
"348","Cardiology","Cardiology",1
"349","Cardiology","Cardiology",1
"350","Cardiology","Cardiology",2
"351","Cardiology","Cardiology",2
"352","Cardiology","Cardiology",2
"353","Cardiology","Cardiology",3
"354","Cardiology","Cardiology",4
"355","Cardiology","Cardiology",3
"356","Cardiology","Cardiology",3
"357","Cardiology","Cardiology",12
"358","Cardiology","Cardiology",9
"359","Cardiology","Cardiology",20
"360","Cardiology","Cardiology",18
"361","Cardiology","Cardiology",24
"362","Cardiology","Cardiology",24
"363","Cardiology","Cardiology",47
"364","Cardiology","Cardiology",35
"365","Cardiology","Cardiology",31
"366","Cardiology","Cardiology",43
"367","Cardiology","Cardiology",52
"368","Cardiology","Cardiology",68
"369","Cardiology","Cardiology",90
"370","Cardiology","Cardiology",72
"371","Cardiology","Cardiology",112
"372","Cardiology","Cardiology",131
"373","Cardiology","Cardiology",161
"374","Cardiology","Cardiology",212
"375","Cardiology","Cardiology",229
"376","Cardiology","Cardiology",260
"377","Cardiology","Cardiology",305
"378","Cardiology","Cardiology",349
"379","Cardiology","Cardiology",417
"380","Cardiology","Cardiology",479
"381","Cardiology","Cardiology",502
"382","Cardiology","Cardiology",508
"383","Cardiology","Cardiology",525
"384","Cardiology","Cardiology",495
"385","Cardiology","Cardiology",578
"386","Cardiology","Cardiology",619
"387","Cardiology","Cardiology",676
"388","Cardiology","Cardiology",738
"389","Cardiology","Cardiology",761
"390","Cardiology","Cardiology",711
"391","Cardiology","Cardiology",865
"392","Cardiology","Cardiology",794
"393","Cardiology","Cardiology",794
"394","Cardiology","Cardiology",831
"395","Cardiology","Cardiology",773
"396","Cardiology","Cardiology",822
"397","Cardiology","Cardiology",747
"398","Cardiology","Cardiology",700
"399","Cardiology","Cardiology",707
"400","Cardiology","Cardiology",660
"401","Cardiology","Cardiology",671
"402","Cardiology","Cardiology",620
"403","Cardiology","Cardiology",604
"404","Cardiology","Cardiology",583
"405","Cardiology","Cardiology",559
"406","Cardiology","Cardiology",462
"407","Cardiology","Cardiology",423
"408","Cardiology","Cardiology",429
"409","Cardiology","Cardiology",443
"410","Cardiology","Cardiology",357
"411","Cardiology","Cardiology",326
"412","Cardiology","Cardiology",298
"413","Cardiology","Cardiology",221
"414","Cardiology","Cardiology",179
"415","Cardiology","Cardiology",159
"416","Cardiology","Cardiology",104
"417","Cardiology","Cardiology",84
"418","Cardiology","Cardiology",65
"419","Cardiology","Cardiology",32
"420","Cardiology","Cardiology",12
"421","Cardiology","Cardiology",13
"422","Cardiology","Cardiology",13
"423","Cardiology","Cardiology",6
"424","Cardiology","Cardiology",10
"425","Cardiology","Cardiology",1
"426","Cardiology","Cardiology",1
"427","Comprehensive internal medicine","Cardiology",1
"428","Comprehensive internal medicine","Cardiology",1
"429","Comprehensive internal medicine","Cardiology",1
"430","Comprehensive internal medicine","Cardiology",1
"431","Comprehensive internal medicine","Cardiology",1
"432","Comprehensive internal medicine","Cardiology",1
"433","Comprehensive internal medicine","Cardiology",1
"434","Comprehensive internal medicine","Cardiology",1
"435","Comprehensive internal medicine","Cardiology",1
"436","Comprehensive internal medicine","Cardiology",1
"437","Comprehensive internal medicine","Cardiology",1
"438","Comprehensive internal medicine","Cardiology",1
"439","Dental department","Cardiology",1
"440","Dental department","Cardiology",1
"441","Department of Critical Care Medicine","Cardiology",1
"442","Department of Critical Care Medicine","Cardiology",1
"443","Department of Critical Care Medicine","Cardiology",1
"444","Department of Critical Care Medicine","Cardiology",1
"445","Department of Critical Care Medicine","Cardiology",1
"446","Department of Critical Care Medicine","Cardiology",1
"447","Department of Infectious Diseases","Cardiology",1
"448","Department of Infectious Diseases","Cardiology",1
"449","Department of Infectious Diseases","Cardiology",1
"450","Department of Respiratory and Critical Care Medicine","Cardiology",1
"451","Department of Respiratory and Critical Care Medicine","Cardiology",3
"452","Department of Respiratory and Critical Care Medicine","Cardiology",1
"453","Department of Respiratory and Critical Care Medicine","Cardiology",1
"454","Department of Traditional Chinese Medicine","Cardiology",1
"455","Department of Traditional Chinese Medicine","Cardiology",1
"456","Department of Traditional Chinese Medicine","Cardiology",1
"457","Department of Traditional Chinese Medicine","Cardiology",1
"458","Department of Traditional Chinese Medicine","Cardiology",1
"459","Department of Traditional Chinese Medicine","Cardiology",2
"460","Department of Traditional Chinese Medicine","Cardiology",1
"461","Department of Traditional Chinese Medicine","Cardiology",1
"462","Department of Traditional Chinese Medicine","Cardiology",1
"463","Department of Traditional Chinese Medicine","Cardiology",1
"464","dermatology","Cardiology",1
"465","Digestive Oncology Surgery","Cardiology",1
"466","Emergency Surgery","Cardiology",1
"467","Endocrinology Department","Cardiology",1
"468","Endocrinology Department","Cardiology",3
"469","Endocrinology Department","Cardiology",1
"470","Endocrinology Department","Cardiology",2
"471","Endocrinology Department","Cardiology",1
"472","Endocrinology Department","Cardiology",1
"473","Gastroenterology","Cardiology",1
"474","Gastroenterology","Cardiology",1
"475","Gastroenterology","Cardiology",1
"476","Gastroenterology","Cardiology",1
"477","Gastroenterology","Cardiology",1
"478","Gastroenterology","Cardiology",1
"479","Gastroenterology","Cardiology",1
"480","Gastroenterology","Cardiology",2
"481","Gastroenterology","Cardiology",1
"482","Gastroenterology","Cardiology",1
"483","Gastroenterology","Cardiology",1
"484","Gastroenterology","Cardiology",1
"485","Gastroenterology","Cardiology",1
"486","Gastroenterology","Cardiology",1
"487","Gastroenterology","Cardiology",1
"488","Gastroenterology Surgery","Cardiology",1
"489","Gastroenterology Surgery","Cardiology",1
"490","Gastroenterology Surgery","Cardiology",1
"491","Gastroenterology Surgery","Cardiology",1
"492","Gastroenterology Surgery II","Cardiology",1
"493","Gastroenterology Surgery II","Cardiology",1
"494","Gastroenterology Surgery II","Cardiology",1
"495","Gynecology","Cardiology",1
"496","Hematology","Cardiology",1
"497","Hepatobiliary Surgery","Cardiology",1
"498","Hepatobiliary Surgery","Cardiology",1
"499","Hepatobiliary Surgery","Cardiology",1
"500","Laparoscopic surgery","Cardiology",1
"501","M2 Gynecological Oncology DepartmentⅠ","Cardiology",1
"502","M3 Urinary and Gynecological Tumor Disease II","Cardiology",1
"503","N14","Cardiology",1
